,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify
1557,Jay Jayanti Society,700,1    ,1,2021-03-08," Opposite to Punjab National Bank,Pimple Saudagar"
1559,"P.S. TOWER HSG SOCIETY,MAGARPATTA ROOAD",750,2    ,2,2021-03-08, OPP NOBLE HOSPITAL
1561,Anandtara Sayajiraje Avenue,610,1    ,1,2021-03-08, Mundhwa
1562,Kasturi The Balmoral Estate,3600,4    ,4,2021-03-08, Baner
1563,Pratham apartment hadapsar,550,1    ,1,2021-03-08, Kalepadal tukai road
1564,AWHO Vijay Vihar,1775,3    ,3,2021-03-08, Wagholi
1565,GK Rajaveer Palace 1 and 2,900,2    ,2,2021-03-08, Pimple Saudagar
1566,Shri Swami Samarth Complex Kharadi,550,1    ,1,2021-03-08, Kharadi
1568,Panchavati Nest,639,1    ,1,2021-03-08, Chikhali
1569,Vimal Classic,600,2    ,2,2021-03-08, Vidyanagar
1571,High Mont,1450,3    ,3,2021-03-08, Hinjewadi Phase 2
1572,Amrut Ganga,850,2    ,2,2021-03-08, Manik Baug
1573,ITrend Homes,950,2    ,2,2021-03-08, Phase-3 Hinjewadi
1574,dyaneshwari park,1000,3    ,2,2021-03-08, Narhe
1576,vithal rukmini society,750,1    ,1,2021-03-08, Hingne Khurd
1578,Bhandari Greenfield Society,632,1    ,1,2021-03-08, Magarpatta
1579,Sun Residency,874,2    ,2,2021-03-08, sakhre vasti road
1580,Marvel Cerise,3500,3    ,3,2021-03-08, Tulaja Bhawani Nagar
1581,"Godrej Infinity, Keshavnagar, Mundhwa",965,2    ,2,2021-03-08, Mundhwa
1582,green county phase 2Fursungi Gaon,501,1    ,1,2021-03-08, Fursungi Gaon
1583,Global Precioso,1685,3    ,3,2021-03-08, Eon Free Zone
1585,Siddhivinayak Durwankur Society,540,1    ,1,2021-03-08, Sasane Nagar kale Padal road
1586,Armada wakad,850,2    ,2,2021-03-08, Hinjewadi Road
1587,Kalpataru Apartment warje Malwadi Pune,410,1    ,1,2021-03-08," Near Digambar wadi School, NDA Road"
1588,G k Rosewood,1160,2    ,2,2021-03-08, Pimple Saudagar
1589,Sairaj Residency,550,1    ,1,2021-03-08, Pimple Gurav
1590,Shivani Residency,1050,2    ,2,2021-03-08, Balewadi
1591,Mainland Valencia,950,2    ,2,2021-03-08, Wagholi
1592,Runwal Seagull,1230,3    ,3,2021-03-08, Handewadi
1594,Life Montage Apartment,978,2    ,2,2021-03-08, Pashan-Sus Road
1598,Sudarshan Lake Paradise,1000,2    ,2,2021-03-08, Wagholi
1599,Golden Treasures,780,1    ,2,2021-03-08, Punawale
1601,66 rRashmiraj Appartment,1800,3    ,3,2021-03-08, Narveer Tanaji Wadi Shivaji Nagar
1602,Raviraj Yellow Blossoms,1033,2    ,2,2021-03-08, Ganesh Nagar
1603,aryan chs,561,1    ,1,2021-03-08, Shivane
1604,TCG The Crown Greens,1143,2    ,2,2021-03-08, Hinjewadi Phase 2
1605,Daulat society,920,2    ,2,2021-03-08, Survey No 15
1606,on request,620,1    ,1,2021-03-08, Sasane Nagar
1608,La Cabana,780,2    ,2,2021-03-08, Pashan-Sus Road
1609,Om The Island,1100,2    ,2,2021-03-08, Wakad
1610,My Home,20000,1    ,1,2021-03-08, Kesnand
1613,Sukhwani Bliss,1000,2    ,2,2021-03-08, Gawade Nagar
1615,Prestige Gold,1268,3    ,3,2021-03-07, Keshav Nagar
1616,florida river walk,830,2    ,2,2021-03-07, Keshav Nagar
1617,Lodha Belmondo,495,1    ,1,2021-03-07, Pune Mumbai Highway
1620,Siddhivinayak Angan,500,1    ,1,2021-03-07, Sasane Nagar
1621,Majestique Oasis,850,2    ,2,2021-03-07, Wagholi
1622,Sai Sayaji Nagar,1000,2    ,2,2021-03-07, Renuka Nagar
1624,Nayan Govind Datta Plaza,650,1    ,1,2021-03-07, Gangotri Nagar
1625,Townscape Mithila Nagari,600,2    ,1,2021-03-07, Pimple Saudagar
1626,Surobhi Apartment,1300,3    ,3,2021-03-07, Vishrantwadi
1627,Krishna Sudama Park,775,1    ,2,2021-03-07, New D P Road
1628,"Shantishilp, Co-Up, Hou, soc.",1050,2    ,2,2021-03-07," Bavdhan, Pune"
1629,Margosa Heights,978,2    ,2,2021-03-07, B6/202
1630,Alliance Nisarg Phase 2,1050,2    ,2,2021-03-07, Wakad
1631,Aum Sanskruti Casa Imperia,970,2    ,2,2021-03-07, Wakadkar Wasti
1632,Marvel Arco,1360,2    ,2,2021-03-07, Hadapsar
1633,Playtor Childscapes,460,1    ,1,2021-03-07, Ranjangaon
1634,GK Rose Aster,414,1    ,2,2021-03-07, Punawale
1635,Ratnadhara,947,2    ,2,2021-03-07, Baner
1636,Sahil Pride,5920,1    ,1,2021-03-07, Yewalewadi
1637,J P Dream Homes,680,1    ,1,2021-03-07, Lohegaon
1639,Eisha Zenith,1143,2    ,2,2021-03-07, Tathawade
1641,Ganga savera,950,2    ,2,2021-03-07, shivarkar road
1642,Melange Residencies,1000,2    ,2,2021-03-07, Phase-3 Hinjewadi
1643,Shraddha Terrace,400,1    ,1,2021-03-07," Shraddha Terrace,Near Suyog Centre,Gultekdi,Pune"
1644,Ananda Heights,620,1    ,1,2021-03-07, Sainikwadi
1646,Vidyadhar Apartment,800,2    ,2,2021-03-07, Opposite Bharat natya mandir
1647,Sai Vinayak Residency,850,2    ,1,2021-03-07, Kasarwadi
1649,Shree Manibhadra Swapna Sankul,700,2    ,2,2021-03-07, Pawana Nagar
1650,TCG The Cliff Garden,600,2    ,2,2021-03-07, Phase-3 Hinjewadi
1651,Madhura Apartment,930,2    ,2,2021-03-07, Pimpri Chinchwad
1652,Golden Treasures,1062,2    ,2,2021-03-07, Punawale
1653,Guru Vista Phase 2,1050,2    ,2,2021-03-07, Kharadi
1654,Alok Nagari,750,1    ,1,2021-03-07, Kasba Peth
1655,Naraynbaug B(301),600,1    ,1,2021-03-07, Kolhewadi
1656,VTP Urban Nirvana,900,2    ,3,2021-03-07, Tulaja Bhawani Nagar
1657,Akahay heights,650,1    ,1,2021-03-07, Kaspate Vasti
1658,Muralidhar Terrace,600,2    ,1,2021-03-07, 63 RAmbaug Colony Kothr
1659,manikanchan,700,2    ,1,2021-03-07, Pimpri Chinchwad
1660,Dhanshri Park,500,1    ,1,2021-03-07, Hinjewadi
1661,Pradnyaraj Lotus,1050,2    ,2,2021-03-10, Kharadi
1662,Magarpatta Erica,2500,2    ,3,2021-03-07, Magarpatta
1663,Shri Swami Landmark 2,700,1    ,1,2021-03-07, Narhe
1664,Nandini Springfield,1100,2    ,2,2021-03-07, Nandini Takle Nagar
1665,Majestique Vanalika,800,2    ,2,2021-03-07, Pirangut
1666,Kumar Pebble Park,930,2    ,2,2021-03-07, Hadapsar
1668,Kumar Pebble Park,930,2    ,2,2021-03-07, Udyog Nagar
1669,KFP Chesterfield,975,2    ,2,2021-03-07, Dhanori
1670,Bhojwani HI Face,381,1    ,1,2021-03-07, Pimple Saudagar
1671,Shri Mahaganesh Nagri Society,732,2    ,2,2021-03-07, Keshav Nagar
1673,Saii Apartments,550,1    ,1,2021-03-07, Pimpri Chinchwad
1674,Dattakrupa Heights,625,2    ,2,2021-03-07, Ravet
1675,Kumar Park Infinia,1585,3    ,3,2021-03-07, Phursungi
1676,Kaustubh Society,470,1    ,1,2021-03-07, Nimbaj Nagar
1677,Vascon Ela The Earth,1115,2    ,2,2021-03-07, Hadapsar
1678,Megapolis Sparklet,988,2    ,2,2021-03-07, Hinjewadi
1679,TCG The Crown Greens,1168,2    ,2,2021-03-07, Hinjewadi Phase 2
1680,Kundan Estates,1509,3    ,3,2021-03-07, Pimple Saudagar
1681,Rajveer Imperia,1052,2    ,2,2021-03-07, Nehru Nagar
1682,Essen Aishwaryam Comfort,760,2    ,2,2021-03-07, Akurdi
1683,Trimurti Residency,535,1    ,1,2021-03-07, Vrundavan Nagar
1684,Atria Dhanashree Aashiyana,1060,2    ,2,2021-03-07, Undri
1685,DSK Sundarban Phase 1,1100,2    ,2,2021-03-07, Hadapsar
1686,Hindavi Scrum Utkarsh,1300,3    ,3,2021-03-07, Hinjewadi
1688,Shree Venkatesh Kshitij Phase 1 And 2,550,1    ,1,2021-03-07, Dattanagar
1689,Prathamesh Apartment warje,703,1    ,1,2021-03-07, Tejovalaya society
1690,Sadguru Apartments,750,2    ,2,2021-03-07, Dhayari
1691,Lotus,870,2    ,2,2021-03-07, Madhav Nagar
1692,Avdhoot Complex,545,1    ,2,2021-03-07, Bharati Vidyapeeth
1693,Mont Vert Belair,1471,3    ,3,2021-03-07, Bhugaon
1694,Palash Plus,1100,2    ,2,2021-03-07, Wakad
1695,Natraj Complex,600,1    ,1,2021-03-07, Kasba Peth
1696,Manjri Greens 4,1640,3    ,3,2021-03-07, Manjri
1697,Vaishnavi Spring Wood,900,2    ,2,2021-03-07, Marunji
1698,Tyagi Windwards,1429,3    ,3,2021-03-07, Kaspate Vasti
1699,Golf Residency,600,1    ,1,2021-03-07, Mother Teresa Nagar
1700,Giridhar Oasis,1069,2    ,2,2021-03-07, Thite Nagar
1704,Park Springs,980,2    ,2,2021-03-07, Dhanori
1705,HPC Sai Crown Imperial,730,1    ,2,2021-03-07, Thergaon
1706,Sai Crown Imperial,600,1    ,2,2021-03-07, Dange Chowk
1708,Yashodevi Avenue,650,1    ,1,2021-03-07, Pimple saudagar
1710,Nirmal Swapna,925,2    ,2,2021-03-07, New Sanghvi
1711,Ramkrishna Paradise,850,3    ,2,2021-03-07, Dhayari
1712,Aum Vihar Apartments,724,1    ,2,2021-03-07, Dmart
1714,Megapolis Sparklet,790,2    ,2,2021-03-07, Hinjewadi
1715,Shalimar Residency,510,1    ,1,2021-03-07, Lohegaon
1716,akshay sanskruti,530,1    ,1,2021-03-07, baif raod
1717,Crystal Park,630,1    ,1,2021-03-07, Opp Desai Eye Hospital Mohammadwadi
1718,Dhanlaxmi Krupa,565,1    ,1,2021-03-07, Hadapsar
1719,Vibhav Co Hsg Society,550,1    ,1,2021-03-07, Mahatma Society
1720,Agrawal Post Lakeside,640,1    ,1,2021-03-07, Wagholi
1721,Goodwill Galaxy Appartment,550,1    ,1,2021-03-07, Munjaba Vasti
1722,Girishobha Apartment,550,1    ,1,2021-03-07, Kothrud
1723,Aum Heritage,950,2    ,2,2021-03-07, Aga Nagar
1724,Krutika CHS,700,1    ,1,2021-03-07, Kothrud
1725,D A Borade Bhondve Orchid,1074,2    ,2,2021-03-07, Ravet
1726,Shri Krishna Society,700,1    ,1,2021-03-07, Koregaon Park Annexe
1727,Soba Optima,850,2    ,2,2021-03-07, Anand Nagar
1729,Saarrthi Skybay,900,2    ,2,2021-03-07, Balewadi
1730,Kakade Majestic,998,2    ,2,2021-03-07, Pimpri Chinchwad
1731,Vsquare next,900,2    ,2,2021-03-07, Sector No-26 Pradhikaran
1732,Bunglow 320,1,1    ,1,2021-03-07, Sector No-28 Pradhikaran
1733,Goel Ganga Hamlet,1100,2    ,2,2021-03-07, Viman Nagar
1734,Mangal Dhara Punawale,1125,3    ,3,2021-03-07, Punawale
1736,Sanyog Residency CHS,900,2    ,2,2021-03-07, Sasane Nagar
1737,Aura County,850,2    ,2,2021-03-07, Ubale Nagar
1739,Rama Air Castles,1366,3    ,3,2021-03-07, Marunji
1740,Ram Nagar Basti,250,1    ,1,2021-03-07, Warje
1743,Krishna Sudama park,725,1    ,2,2021-03-07, Aundh
1744,Tulip Residency Kharadi,600,1    ,2,2021-03-07, Kharadi
1745,Fortune East Society,950,2    ,2,2021-03-07, Kharadi
1746,Sadashiv Colony,1130,2    ,1,2021-03-07, Dange Chowk
1747,Megapolis Sunway,1250,3    ,2,2021-03-06, Phase-3 Hinjewadi
1748,Jai Ganesh Plaza,840,2    ,2,2021-03-06," Katraj-Kondhwa Road, Kondhwa Budruk, Nr Iskcon Temple, 411048"
1749,Kolte Patil Western Avenue,965,2    ,2,2021-03-06, Wakad
1750,Vrindavan Elegance,1200,2    ,2,2021-03-06, Shankar Kalat Nagar
1751,Skyi Songbirds,919,2    ,2,2021-03-06, Bhugaon
1752,Paranjape Blue Ridge,1798,3    ,3,2021-03-06, Hinjewadi
1753,Kumar Aangan,1000,2    ,2,2021-03-06, Yerwada
1755,Tata La Montana,950,2    ,2,2021-03-06, Talegaon
1756,Shriram Complex,350,1    ,1,2021-03-06, Nana Peth
1757,Paranjape Blue Ridge,540,1    ,1,2021-03-06, Hinjewadi
1758,Majestique Manhattan,870,2    ,2,2021-03-06, Wagholi
1759,Spring Glory CHS,550,1    ,1,2021-03-06, Kharadi
1760,Sai Sayaji,1050,1    ,2,2021-03-06, Wanowrie
1761,Sai Sayaji,1022,1    ,2,2021-03-06, Wanowrie
1762,Kolte Patil Margosa Heights,1015,2    ,2,2021-03-06, NIBM
1763,Kohinoor Tinsel Town,900,2    ,2,2021-03-06, Hinjewadi Phase 2
1764,Nivasa Udaan,650,1    ,1,2021-03-06, Lohegaon
1765,Life Montage Apartment,1000,2    ,2,2021-03-06, Sus
1766,State Bank Nagar,420,1    ,1,2021-03-06, Upper Indira Nagar
1767,Lakshadweep Palace,1200,3    ,2,2021-03-06, Pimple Saudagar
1768,Kalpana Appartment,550,1    ,1,2021-03-06, Talegaon Dabhade Yashwantnagar
1769,Goel Ganga Carnation,1300,2    ,2,2021-03-06, Koregaon Park Annexe
1770,Sudhir Mandke Aristocrat Housing Complex,518,1    ,1,2021-03-06, Lullanagar
1773,Swaraj Residency,682,2    ,2,2021-03-06, Moshi
1774,Dharamshi Signature,1200,2    ,2,2021-03-06, Kondhwa
1775,AV Bhat Sundar Nagari,550,1    ,1,2021-03-06, Somwar Peth
1777,Shree Venkatesh Vihar,600,1    ,1,2021-03-06, Kondhwa Budruk
1778,Aapla Ghar Lonikand,694,1    ,1,2021-03-06, Lonikand
1780,Goel Ganga Atharva Ganga,846,2    ,2,2021-03-06, Pashan
1781,Namo Shine City,443,1    ,2,2021-03-06, Chikhali
1783,Sonigara Blue Dice,1000,2    ,2,2021-03-06, Chikhali
1784,Saptrang Aakash Society,650,1    ,1,2021-03-06, Bhekrai Nagar
1786,Gauree Space Atlantica East,975,3    ,3,2021-03-06, Keshav Nagar
1787,Kumar Primavera,1000,2    ,2,2021-03-06, Sainath Nagar
1790,Yashada Siddhi,565,1    ,1,2021-03-06, Sudarshan Nagar
1791,Jay Ganesh Vishwa,1200,2    ,2,2021-03-06, Vishrantwadi
1792,Kakade Township,565,1    ,1,2021-03-06," Keshav nagar, Chinchwad"
1794,narmada kamal,550,1    ,1,2021-03-06, Hingne Khurd
1795,Madhav park,515,1    ,1,2021-03-06, Gujrat Colony
1796,Shri Krishna Ikon,875,2    ,2,2021-03-06, Ravet
1797,Gayatrree Landmark,951,2    ,2,2021-03-06, Thergaon
1798,kalpavruksha heights 4346 manaji nager road,365,1    ,1,2021-03-06, Narhe
1799,Kshitij Colony,550,1    ,1,2021-03-06, Jagtap Dairy Kshitij Colony Lane No 2
1800,Megapolis Sparklet,950,2    ,2,2021-03-06, Hinjewadi
1802,Dhankude Corner,980,2    ,2,2021-03-06, Bhusari Colony
1804,shambhavi palace,300,1    ,1,2021-03-06, Nagar Road
1806,shree niwas apartments,750,2    ,2,2021-03-06, Panmala
1807,Pratik Nagar,525,1    ,1,2021-03-06, Yerwada
1808,Life Montage Apartment,820,2    ,2,2021-03-06, Sus
1809,Aaryan Shriram Residency,860,2    ,2,2021-03-06, Wagholi
1811,SBS Sukhwani Glory,1018,2    ,2,2021-03-06, Dapodi
1812,Gera Landmark,600,1    ,2,2021-03-06, Kalyani Nagar
1813,yughadhar apartment,625,1    ,1,2021-03-06, Lohegaon
1814,Celestial City,840,3    ,2,2021-03-06, Ravet
1815,Rakshita Apartment,750,2    ,1,2021-03-06, Sector No-3 Bhosari
1817,Damodar Vihar,550,1    ,2,2021-03-06, Manjri
1818,BA Vermont,950,2    ,2,2021-03-06, Wagholi
1819,GD Square 18 Longitude,850,2    ,2,2021-03-06, Punawale
1820,Vishwa Vinayak Florencia,1100,2    ,2,2021-03-06, Kaspate Vasti
1821,Aayush Park Phase II,590,1    ,1,2021-03-06, Aayush Park Phase II
1822,133 Orange Tree,850,2    ,2,2021-03-06, Sus
1823,Aayush Park II Society Talegaon Dabhade,590,1    ,1,2021-03-06, Talegaon Dabhade
1825,VTP Urban Nirvana,1098,2    ,2,2021-03-06, Tulaja Bhawani Nagar
1827,Niljyoti Society,1000,2    ,1,2021-03-06, Gokhale Nagar
1828,Shree Apartment,627,1    ,1,2021-03-06, Ubale Nagar
1832,Shoreline Disha Bhoomi Residency,604,1    ,1,2021-03-06, Ambegaon Budruk
1834,Siddhant Residency,700,1    ,2,2021-03-06, Maharashtra Colony Pimple Gurav
1836,Mantra Senses,1019,2    ,2,2021-03-06, Handewadi
1837,Altissimo,1150,2    ,3,2021-03-08, Wakad
1838,padamjee,400,1    ,1,2021-03-06, Camp
1839,Tata La Montana,1052,2    ,2,2021-03-06, Talegaon
1840,Shreeshakti,800,2    ,1,2021-03-06, Pawarvasti
1841,Pride Brooklyn,1000,2    ,2,2021-03-06, Lohegaon
1842,Gera Adara,416,1    ,1,2021-03-06, Hinjewadi
1843,Aditya Guruganesh Nagar Phase 1,585,1    ,1,2021-03-06, Kothrud
1844,Rmc Garden,850,1    ,1,2021-03-06, Wagholi
1845,Vilas Javdekar Yashwin,1400,3    ,3,2021-03-06, Sus
1846,Paranjape Richmond Park,950,2    ,2,2021-03-06, Jyotiba Colony
1852,Pristine Prolife,675,2    ,2,2021-03-06, Wakad
1853,On Request,284,1    ,1,2021-03-06, Katraj Kondhwa Road
1854,Radha Housing Society,800,2    ,1,2021-03-06, Behind Gaikwad Petrol Pump
1855,Gandharva Nagari,923,2    ,2,2021-03-06, Moshi
1856,Pashankar Yin Yang,2195,3    ,3,2021-03-06, Kharadi
1857,Venus Garden,525,2    ,1,2021-03-06, Kharadi
1859,rajaram patil nagar,950,2    ,2,2021-03-06, Tulaja Bhawani Nagar
1860,Kamdhenu Jasmine,810,2    ,2,2021-03-06, Pimple Saudagar
1861,Kolte Patil western avanue,1530,3    ,3,2021-03-06, Shankar Kalat Nagar
1862,Pathare Thube Nagar Society,880,1    ,1,2021-03-06, Kharadi
1863,Reelicon Shelters Karan Gharonda,605,1    ,1,2021-03-06, Vadgaon Sheri
1864,Shades View Society,640,1    ,1,2021-03-06, Kaspate Vasti
1866,Margosa heights,1475,3    ,3,2021-03-06, NIBM
1867,Krupasindhu Apartment,455,1    ,1,2021-03-06, Abasaheb Raikar Nagar
1868,Domale Heights,1300,1    ,1,2021-03-06, Keshav Nagar
1870,Indraprasth Society,516,1    ,1,2021-03-06, Dhanori
1873,Shree Venkatesh Nisarg,1800,3    ,3,2021-03-06, Vadgaon Budruk
1874,Dheeraj Jade Residences,790,2    ,2,2021-03-06, Wagholi
1875,Orient Garden,900,1    ,1,2021-03-11, Hadapsar
1877,Pooja Garden,1018,2    ,3,2021-03-06, Sector No-26 Pradhikaran
1878,Whispering Wind Society,800,1    ,1,2021-03-06, Baner Pashan Link Road
1879,Jaideep Residency,860,2    ,2,2021-03-06, Wakad
1880,Sumitra Valley,1200,2    ,2,2021-03-06, Shankar Kalat Nagar
1881,Ankur Park 1,550,1    ,1,2021-03-06, Mukund Nagar
1882,Orient Garden,400,1    ,1,2021-03-06, Hadapsar
1883,vidya nagar,500,1    ,1,2021-03-06, Wadgaon Sheri
1884,Shriram La Tierra,1360,3    ,2,2021-03-06, Vishrantwadi
1885,on request,750,2    ,2,2021-03-06, Chakan
1886,Rio Vista,593,1    ,1,2021-03-06, Talegaon
1887,Sukhwani Aakashdeep,800,2    ,1,2021-03-06, Kasarwadi
1888,Mauli Chowk,350,1   ,1,2021-03-06, Wakad
1889,Shanti Niketan,450,2    ,1,2021-03-06, Wadgaon Sheri
1890,"vidyanagar, wadgaonsheri.",500,1    ,1,2021-03-06, Kalyani Nagar Annexe
1892,Sant Nirankari Residency,460,1    ,1,2021-03-06, Manjri BK
1894,Megapolis Sparklet,450,1    ,1,2021-03-06, Hinjewadi
1895,AWHO Vijay Vihar,1350,3    ,3,2021-03-06, Wagholi
1896,Ganesham Phase 1,1200,2    ,2,2021-03-06, Pimple Saudagar
1897,GK Rose E Mehar,580,1    ,1,2021-03-06, Rahatani
1898,Saraswati Heights,642,1    ,1,2021-03-06, Santosh Nagar
1899,Alliance Nisarg Leela,688,1    ,1,2021-03-06, Bhausaheb Kalate Nagar
1900,on request,700,1    ,1,2021-03-06, Kondhwa Budruk
1901,Vishwa Vinayak Florencia,1050,2    ,2,2021-03-06, Kaspate Vasti
1902,ITrend Homes,715,2    ,2,2021-03-06, Hinjewadi
1903,Sayali Park,250,1    ,1,2021-03-06, Pimple Saudagar
1904,Kumar Pebble Park,990,2    ,2,2021-03-06, Autadwadi Handewadi
1905,Aurum Elementto,625,1    ,1,2021-03-06, Kutwal Colony
1907,Vaishnavi Sadan,6000,1    ,1,2021-03-06, Janardhannagar Lane No.1
1908,Society,940,2    ,2,2021-03-06, Shankar Kalat Nagar
1909,Ravinanda Skylights,1150,2    ,2,2021-03-06, Wagholi
1910,Ratan Prestige,1050,2    ,2,2021-03-06, Tukaram Nagar
1912,Royal Emirates Hills,2368,3    ,3,2021-03-06, Somatne Phata
1913,Siddharth Complex,380,1    ,1,2021-03-06, Kashinath Patil Nagar
1917,Amit Colori,536,2    ,2,2021-03-05, Undri
1918,9 Green,705,1    ,1,2021-03-05, JSPM college Handewadi Road
1919,K Raheja Gardens,540,1    ,1,2021-03-05, Wanowrie
1920,Pride Purple Park Street,1300,2    ,3,2021-03-05, Wakad
1921,Manohar Park,570,1    ,1,2021-03-05, Pink City Road
1922,Poorva Srushti Apartments,5597,1    ,2,2021-03-05, Sinhgad Road
1923,K and B Tranquility,900,2    ,2,2021-03-05, Shewalewadi
1924,Sonai Apartments,1600,2    ,2,2021-03-05, Wakad
1925,Megapolis Sparklet,1150,2    ,2,2021-03-05, Phase-3 Hinjewadi
1926,Gulmohar Renaissance,1123,2    ,2,2021-03-05, Wagholi
1928,DNV Elite Homes,615,1    ,1,2021-03-05, Tathawade
1929,on request,580,1    ,1,2021-03-05, Hadapsar
1931,Neo Regal,950,2    ,2,2021-03-05, Moshi
1932,Vertical Alcinia,984,2    ,2,2021-03-05, Mohamadwadi
1934,Maplewood C.H.S.,550,1    ,1,2021-03-05, Kalyani Nagar
1935,Gagan Galaxy,640,1    ,1,2021-03-05, Gultekadi
1936,Nav Chaitanya Apartments,1600,2    ,2,2021-03-05, Morwadi
1938,RAIMAA GALAXY HOUSING SOCIETY,630,1    ,1,2021-03-05," VIJAYNAGAR, KALEWADI, PIMPRI"
1939,Cozy Homes,850,2    ,2,2021-03-05, Wagholi
1940,Windsor County,679,2    ,2,2021-03-05, Ambegaon Bk
1941,Madhav memory,1200,2    ,2,2021-03-05, Aundh
1942,Treedom park,1350,2    ,2,2021-03-05, Vishrantwadi
1943,Aayush Park,581,1    ,1,2021-03-05, Varale
1944,Mont Vert Seville,1078,2    ,2,2021-03-05, Shankar Kalat Nagar
1945,Magarpatta City Cosmos,1400,2    ,2,2021-03-05, Magarpatta
1946,Nav Pinnac Kanchanganga CGHS,1050,2    ,2,2021-03-05, Aundh
1947,Altius Co-Op Hsg Society,1053,2    ,2,2021-03-05, Vishal Nagar
1948,Kohinoor Tinsel County,640,2    ,2,2021-03-05, Phase-3 Hinjewadi
1950,Saraswati Sadan,1250,2    ,2,2021-03-05, Rambaug Colony
1951,on req,650,1    ,1,2021-03-05, Aundh
1952,Ganga Kalash Society,850,2    ,2,2021-03-05, Vishrantwadi
1954,Shri Swami Samarth,600,1    ,1,2021-03-05, Jawalkar Nagar
1955,Sukhwani Elmwoods,1100,2    ,2,2021-03-05, Pimple Saudagar
1956,Gandhi Bafna Ayaan,875,2    ,2,2021-03-05, Wagholi
1957,Omkar Bliss,650,1    ,1,2021-03-05, Wagholi
1959,Sai-Smruti CHS,400,1   ,1,2021-03-05, Narhe
1961,Rohan Mithila,1350,2    ,2,2021-03-05, Mhada Colony
1964,Pawar Heights,305,1   ,1,2021-03-05, Hadapsar
1965,On Req,550,1    ,1,2021-03-05, Samarth Nagar
1967,Sneh vrund,550,1    ,1,2021-03-05, Bavdhan
1968,Om Shriniwas Venkatesh Classic,500,1    ,1,2021-03-05, Hadapsar
1969,Royal Meadows,500,2    ,1,2021-03-05, Jyotiba Colony
1970,Bramha Suncity,1590,3    ,3,2021-03-05, Wadgaon Sheri
1971,Urban Forest,1185,2    ,2,2021-03-05, St Tukaram Nagar
1972,Royal Palms Estate,1200,2    ,2,2021-03-05, Viman Nagar
1973,Saismruti CHS,400,1    ,1,2021-03-05, Narhe
1974,Krisala Palash Apartment,945,2    ,2,2021-03-05, Kiwale
1975,Magarpatta City Trillium,800,2    ,2,2021-03-05, Magarpatta
1976,Tucker AWHO Enclave,1990,4    ,3,2021-03-05, Hadapsar
1977,Devi Indrayani,1030,2    ,2,2021-03-05, Talawade
1978,"Ira Niwas , Gananjay society",600,1    ,1,2021-03-05, Gananjay society
1979,Ashoka Nagar Society,400,1    ,1,2021-03-05, Kharadi
1980,Bhandari Savannah,1070,2    ,2,2021-03-05, Wagholi
1982,Emppire Eternity,650,1    ,1,2021-03-05, Katraj
1984,Sai Sanskruti,905,2    ,2,2021-03-05, Wagholi
1985,vaibhav colony kalewadi,550,1    ,1,2021-03-05, Near Alphonso High School
1986,Omkar Park,570,1    ,1,2021-03-05, Thergaon
1987,Avnee Optima Heights,845,2    ,2,2021-03-05, Kesnand
1988,Pristine Prolife,1000,2    ,2,2021-03-05, Wakad
1991,Living Fantasy,995,2    ,2,2021-03-05, Wagholi
1992,Dwarka,700,2    ,2,2021-03-05, Indrayani Nagar
1994,Vision Indrabhumi,950,2    ,2,2021-03-05, Pimpri Chinchwad
1995,State Bank Nagar Co Operative Housing Society,550,1    ,1,2021-03-05, Bibwewadi
1996,Bliss County,900,2    ,2,2021-03-05, Pimple Saudagar
1997,Dheeraj Jade Residences,760,2    ,2,2021-03-05, Wagholi
1998,"Lerayon Apt, Rahatani",945,2    ,2,2021-03-05, Rahatani
1999,Swaroop Heights,610,1    ,1,2021-03-05, Nana Nagar
2000,Sai prasad hsg soc,540,1    ,1,2021-03-05, Karve Nagar
2001,dip shika,1200,3    ,2,2021-03-05, Pathare Wasti
2002,Apex Athena,1160,2    ,2,2021-03-05, Bhumkar Nagar
2003,Xrbia City,294,1    ,1,2021-03-05, Hinjewadi
2004,Skyi Songbirds,495,1    ,1,2021-03-05, Bhugaon
2005,Aditya Vastu,900,1    ,2,2021-03-05, Chinchwad
2006,Anandtara Olive Orchard,864,2    ,2,2021-03-05, Wakad
2008,GK Vedanta,1038,2    ,2,2021-03-05, Wakad
2011,Kumar Palm Meadows,1106,2    ,2,2021-03-05, Pisoli
2013,Harshal Ek Shanti Park,1042,2    ,2,2021-03-05, Narhe
2014,On req,300,1    ,1,2021-03-05, Kalewadi Phata
2015,Independent Villa,400,1   ,1,2021-03-05, Rahatani
2016,Popular Colony,620,1    ,1,2021-03-05, Warje Malwadi
2017,Amar Corner,560,1    ,1,2021-03-05, Gadital
2018,Shivkrushna Society,950,2    ,2,2021-03-05, Manjari Budruk
2019,Dhnyeshwari park,650,1    ,2,2021-03-05, Bhosari
2020,Mangal Bhairav,572,1    ,1,2021-03-05, Nanded City
2023,Empire Square,1200,2    ,2,2021-03-05, Chinchwad
2024,Aarav Ambience,650,1    ,1,2021-03-05, Ubale Nagar
2026,Madhuban Society,500,1    ,1,2021-03-05, Vishrantwadi
2027,Kargil Society,400,1    ,1,2021-03-05, Warje Malwadi
2028,mahuli niwas,710,2    ,1,2021-03-05, Yerwada
