,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify,lat,longi
59,On Request,550,1,1,2021-03-16, Hadapsar,18.508934,73.92591019999999
60,Namrta Colony Mauli Heights,1200,1,1,2021-03-16, Manjari Budruk,18.521266,73.98257339999999
61,Second floor/Aniket Society Building M Block,400,1,1,2021-03-16, Baner Pashan Link Roa,18.5518288,73.7943248
62,Rohit Residency,800,1,1,2021-03-16, Chinchwad,18.6297811,73.7997094
63,Mittal Pebbles High Mont,900,2,2,2021-03-16, Hinjewadi,18.5912716,73.73890899999999
64,Atrium Skyward,1000,2,2,2021-03-16, Undri,18.4566651,73.9095279
65,Townscape Mithila Nagari,1000,2,2,2021-03-16, Pimple Saudagar,18.5986763,73.79783479999999
66,On Request,525,1,1,2021-03-16, Bibwewadi,18.4690213,73.8640944
67,Goel Ganga Studio Apartments,550,1,1,2021-03-16, Nigdi,18.6491735,73.7706532
68,Kalpataru Splendour,1175,2,2,2021-03-16, Shankar Kalat Nagar,18.5993483,73.762495
69,Xrbia Township,530,2,2,2021-03-16, Narhe,18.4464732,73.826375
70,Kamalraj Nishigandh,850,2,2,2021-03-16, Dighi,18.6148698,73.8729867
71,Todkar Township,550,1,1,2021-03-16, Sasane Nagar,18.4919553,73.9345125
72,on request,800,1,1,2021-03-16, Thite Nagar,18.5443244,73.9403908
73,Arun Sanskriti,1149,2,2,2021-03-16, Kaspate Vasti,18.5901745,73.7727908
74,Kshirsagar,750,1,1,2021-03-16, Kharadi,18.5538241,73.9476689
75,Near Dhayari phata,700,1,1,2021-03-16, Narhe,18.4464732,73.826375
76,Sai Leela Apartment,1000,2,2,2021-03-16, Manaji Nagar,18.4527949,73.82387750000001
77,Sukhwani Palm Breeze,950,2,1,2021-03-16, Pimple Saudagar,18.5986763,73.79783479999999
78,Polite Precisa,1480,3,3,2021-03-16, Ravet,47.66703210000001,-117.4014343
79,Megapolis Sangria Hinjewadi,1430,3,2,2021-03-16, Phase-3 Hinjewadi,18.5868397,73.68599499999999
80,Shree Sai Heritage,736,2,2,2021-03-16, Vadgaon Budruk,18.4659813,73.8246309
81,TCG Panorama,520,1,1,2021-03-16, Ambegaon,19.1132337,73.7326775
82,Nandan Inspera,1097,2,2,2021-03-16, Shankar Kalat Nagar,18.5993483,73.762495
83,Choice Goodwill Orchids,850,2,2,2021-03-16, Madhav Nagar,21.1230533,79.0553249
84,Cassiopeia Classic,1100,3,2,2021-03-16, Baner,18.5590032,73.7867629
85,Venkatesh Galxy,550,1,1,2021-03-16, Tilekar Nagar,18.4470441,73.8816001
86,Renuka Morya Park,470,1,1,2021-03-16, Gandhi Peth,18.6276082,73.78088
87,Mhada,750,1,1,2021-03-16, Mahalunge Ingale,18.7545995,73.80574519999999
88,Asha nagar housing society,560,2,1,2021-03-16, Vaiduwadi,18.5029883,73.9205509
89,Freesia Sky,850,2,2,2021-03-16," Datta Nagari, Manjari Budruk",18.5228673,73.9865564
90,Shree Ganesha Apartment,590,1,1,2021-03-16, Pimple Gurav,18.5865962,73.8134424
91,GK Dwarkadheesh Residency,1100,2,2,2021-03-16, Pimple Saudagar,18.5986763,73.79783479999999
92,Shivram Heights,568,1,1,2021-03-16, Punawale,18.6309399,73.7378149
93,Mayureshwar Vihar Society,650,1,1,2021-03-16, Katraj,18.4529322,73.86523799999999
94,On Request,840,2,2,2021-03-16, Ambegaon Bk,18.4458033,73.8507279
95,Sarita Residency,690,1,1,2021-03-16, Phursungi,18.4726725,73.9784573
96,Venkateshwara Park,575,1,1,2021-03-16, Thergaon,18.6142654,73.77507460000001
97,Meghmalhar Housing Society Warje Pune,950,2,2,2021-03-16, Near Hill View Residency,27.316144,-82.53217599999999
98,Ajonkya Apartment,500,1,1,2021-03-16, Bopodi,18.5709235,73.83508309999999
99,Sidhivinayak,500,2,3,2021-03-16, Pimple Gurav,18.5865962,73.8134424
100,Shree Heritage,850,2,2,2021-03-16, Ravet,47.66703210000001,-117.4014343
101,Hermes Heritage,1010,2,2,2021-03-16, Shastri Nagar,28.6746196,77.18017569999999
102,Raviraj Solace Park,610,1,1,2021-03-16, Ganesh Nagar,28.6245815,77.2828969
103,"CHAITANYA APARTMENT, WAKAD",530,1,1,2021-03-16, DANGE CHOWK ROAD,18.604276,73.75100069999999
104,Mont Vert Belbrook,2000,2,2,2021-03-16, Bhugaon,18.5011162,73.7507669
105,Siddhant Sai Vista,1000,2,2,2021-03-16, Ravet,47.66703210000001,-117.4014343
106,St. Anthonys Colony,680,1,1,2021-03-16, Mundhwa,18.5330323,73.933003
107,VP Sera Bella,850,2,2,2021-03-16, Tathawade,18.627597,73.74549
108,Onnyyx Sai Villa,850,2,2,2021-03-16, Vadgaon Sheri,18.5512771,73.92098940000001
109,Saptsiddhi Savali Homes,613,1,1,2021-03-16, Uruli Devachi,18.4563105,73.95638319999999
110,rutumbara gruha alankar,550,1,1,2021-03-16, Narhe,18.4464732,73.826375
111,trupti kunj,900,2,2,2021-03-16, Narhe,18.4464732,73.826375
112,Madhav Manor Apartment,500,1,1,2021-03-16, Kothrud,18.5073514,73.8076543
113,Aishwarya Complex,6000,1,1,2021-03-16, Bhekrai Nagar,18.4819581,73.9521468
114,Ridhhiraj Building,420,1,2,2021-03-16, Undri,18.4566651,73.9095279
115,SBS Sukhwani Glory,1050,2,2,2021-03-16, Dapodi,18.5852963,73.8333804
116,sai krupa apartments,1000,2,1,2021-03-16, Bhekrai Nagar,18.4819581,73.9521468
117,Suyash Srushti,543,1,1,2021-03-16, Hadapsar,18.508934,73.92591019999999
118,Ganaraj CHS,610,1,1,2021-03-16, Mohan Nagar,28.672818,77.3862836
119,Omkar Nivaas,600,1,1,2021-03-16, Fursungi Gaon,18.4726725,73.9784573
120,Kanchan Eleena Society by Try Developer,800,2,2,2021-03-16, Kemse Vasti,18.5989671,73.7499922
121,Aaiji The Celsia Park,1275,3,2,2021-03-16, Narhe,18.4464732,73.826375
122,Sunshree Woods,1100,2,2,2021-03-16, NIBM,6.9065441,79.87072119999999
123,brahma memory fields,850,2,2,2021-03-16, Lullanagar,18.4852672,73.88362
124,GK Rose E Mehar,873,2,2,2021-03-16, Rahatani,18.6047038,73.78712949999999
125,Palm Groves,1800,3,3,2021-03-16, B.T Kawade Road,18.5177246,73.90670519999999
126,Vadgaon sheri,750,1,1,2021-03-16, Sainikwadi,18.5509643,73.9168593
127,Sai Sunderam,2250,2,2,2021-03-16, Kharadi,18.5538241,73.9476689
128,Ayush park phase II,1100,2,2,2021-03-16, Maval,41.2921345,-81.46625759999999
129,Soham Apartment Shivane,900,2,2,2021-03-16, Shivane,18.4661512,73.7821719
130,Golden Winds,775,2,2,2021-03-16, Lohegaon,18.5944704,73.9275889
131,Aum Apartment,603,1,1,2021-03-16, Wagholi,18.5807719,73.9787063
132,Shree Swami Samarth,550,1,1,2021-03-16, Manjari Budruk,18.521266,73.98257339999999
133,Kumar Kubera Sankul Riddhi,1000,2,2,2021-03-16, Hadapsar,18.508934,73.92591019999999
134,Karia Konark Pooram,500,1,1,2021-03-16, Kondhwa Budruk,18.450386,73.87937450000001
135,Sumangal Residency,585,1,1,2021-03-16, Sus,40.7466478,-73.99335599999999
136,Suyog Space,750,2,2,2021-03-16, Wakad,18.6010921,73.7641245
137,Unmesh Apartment,600,1,1,2021-03-16, Hadapsar,18.508934,73.92591019999999
138,Hill Shire,573,1,1,2021-03-16, Wagholi,18.5807719,73.9787063
139,krishna heritage,900,2,1,2021-03-16, Kiwale,18.661162,73.728662
140,Essen Aishwaryam Comfort,927,2,2,2021-03-16, Akurdi,18.6504839,73.7785786
141,Neco Gardens,500,1,1,2021-03-16, Sakore Nagar,18.5619384,73.9109977
142,M,706,2,2,2021-03-16, Pimpri,18.6297811,73.7997094
143,Mohan Nagar CHS,900,2,2,2021-03-16, Baner,18.5590032,73.7867629
144,Green City Cooperative Housing Society,565,1,1,2021-03-16, Handewadi,18.4542527,73.9315733
145,Sai Samarth Sarisha Chs,904,2,2,2021-03-16, Punawale,18.6309399,73.7378149
146,Mantra Senses,1164,2,2,2021-03-16, Handewadi,18.4542527,73.9315733
147,Shivam Majestica,990,2,2,2021-03-16, Swami Vivekanand Nagar,25.1244669,75.8098141
148,Akshay Galaxy,869,2,2,2021-03-16, Kondhwa Budruk,18.450386,73.87937450000001
149,Parmar Vista Luxuria,926,2,2,2021-03-16, Manjri,18.5234503,73.9853801
150,Hitoshi Society,670,1,1,2021-03-16," Salisbury Park, Pune",18.4926135,73.87572
151,Sujay Windchime Homes,953,2,2,2021-03-16, Somatane,18.6944261,73.6815807
152,Star Residency,560,1,1,2021-03-16," Keshavnagar, Mundhwa",18.5323976,73.94406459999999
153,Atria Grande,835,2,2,2021-03-16, Undri,18.4566651,73.9095279
154,Gulmohar Privilege,1000,2,2,2021-03-16, Kharadi,18.5538241,73.9476689
155,Pushpanagari Appartment,500,1,1,2021-03-16, Rambaug Colony,18.5162864,73.8169099
156,Popular Giridhar Nagar,550,1,1,2021-03-16, Popular Nagar Warje,18.483597,73.7970575
157,Yugal Willed Ways,2600,3,4,2021-03-16, Baner,18.5590032,73.7867629
158,Mantra Meera,1200,2,2,2021-03-16, Balewadi Phata,18.5645048,73.7838215
159,Sai Niwas,650,1,1,2021-03-16, Kashinath Patil Nagar,18.4719863,73.8629029
160,Stand Alone Building,1000,2,2,2021-03-16, Chandan Nagar,22.867114,88.3674381
161,Saad Society,685,1,1,2021-03-16, Manaji Nagar,18.4527949,73.82387750000001
162,Sanyog Residency CHS,825,2,1,2021-03-16, Sasane Nagar,18.4919553,73.9345125
163,Sunshine Society,890,2,2,2021-03-16, Phursungi,18.4726725,73.9784573
164,Kumar Kul Ecoloch Phase 1,700,2,2,2021-03-16, Mahalunge,18.57382,73.7561594
165,Teerth Aarohi,2200,4,3,2021-03-16, Parkhe Vasti,18.5476177,73.7512065
166,Gagan Aakansha,820,2,2,2021-03-16, Uruli Kanchan,18.4874257,74.1333715
167,"Balaji Complex, BhartiVidhyapeth",550,1,1,2021-03-16, bhartividhyapeth,18.5118048,73.8431451
168,Kumar Pebble Park,800,2,2,2021-03-16, Hadapsar,18.508934,73.92591019999999
169,Gera Emerald City,1500,3,3,2021-03-16, Eon Free Zone,18.553989,73.9521468
170,Amanora Trendy Homes,1070,3,2,2021-03-16, Hadapsar,18.508934,73.92591019999999
171,Ajmera Colony,900,2,2,2021-03-16, Morwadi,18.633344,73.8051458
172,HM Royal,940,2,2,2021-03-16, Kondhwa Budruk,18.450386,73.87937450000001
173,Dynamic Linea,1103,2,2,2021-03-16, Satav Nagar,18.4761214,73.93047109999999
174,Protential tower,1400,2,1,2021-03-16, Mauli chowk,19.1543156,73.2335458
175,Nanded City,465,1,1,2021-03-16, Sinhgad Road,18.4571619,73.8033639
176,Sukhwani Callisto,1031,1,2,2021-03-16, Vishnu Dev Nagar,18.5995992,73.77352619999999
177,Le Rayon,623,1,1,2021-03-16, Pimple Saudagar,18.5986763,73.79783479999999
178,Chandan Crest,1300,2,2,2021-03-15, Vishal Nagar,18.5844057,73.78088
179,Chamadia Pristine Meadows,914,2,2,2021-03-15, Ubale Nagar,18.5664327,73.95775139999999
180,Laxmisatyam Residency,556,1,2,2021-03-15, Madhav Nagar,21.1230533,79.0553249
181,Belvalkar Solacia,956,2,2,2021-03-15, Wagholi,18.5807719,73.9787063
182,Bhandari Savannah,600,1,2,2021-03-15, Wagholi,18.5807719,73.9787063
183,Bhandari Savannah,650,1,2,2021-03-15, Wagholi,18.5807719,73.9787063
184,savanaah,550,1,2,2021-03-15, Kharadi Annex,18.5723122,73.95369699999999
185,kalpana housing society yerwada,750,2,2,2021-03-15, Gunjan theatre airport road,18.5466069,73.8882148
186,JCD Park,600,1,2,2021-03-15, Pratik Nagar,18.5657821,73.8832011
187,Shah Blossom,540,1,2,2021-03-15, Sanjay Park,18.5701841,73.9035006
188,Venkatesh Graffiti,1025,2,2,2021-03-15, Keshav Nagar,18.5323976,73.94406459999999
189,Kumar Pebble Park,750,2,2,2021-03-15, Hadapsar,18.508934,73.92591019999999
190,Vishrant Society Society Vishrantwadi,450,1,1,2021-03-15, Vishrantwadi,18.5726054,73.8782079
191,"siddharth estate, kalyani nagar",710,2,2,2021-03-15, joggers park,38.9143214,-94.65013739999999
192,Balaji Kanchanpuram,862,2,2,2021-03-15, Wagholi,18.5807719,73.9787063
193,DSK Kunjaban,780,2,2,2021-03-15, Kate Wasti,18.6241223,73.73467699999999
194,The Island,1300,3,2,2021-03-15, Shankar Kalat Nagar,18.5993483,73.762495
195,M Square Dreamland,400,1,1,2021-03-15, Kharadi,18.5538241,73.9476689
196,Swami Samarth Complex,550,1,1,2021-03-15, Wadgaon sheri Ganesh Nagar Road,18.5509958,73.92482729999999
197,Samarth angan,600,1,1,2021-03-15, Bafna motor showroom,18.5115811,73.8293462
198,Rahul Nagar,550,1,1,2021-03-15, Kothrud,18.5073514,73.8076543
199,Aashray Housing Society,2000,1,1,2021-03-15, Lohegaon,18.5944704,73.9275889
200,Ganesh Bagh Society,650,2,1,2021-03-15, Anand Nagar,26.2273378,90.2221213
201,Suryaman House,1250,3,3,2021-03-15, Aundh,18.5601649,73.8031335
202,Safal Oneiro,770,2,1,2021-03-15," Wakad, Bhujbal vasti, close to Wakad - Hinjewadi flyover",18.5925431,73.7572568
203,Mamta Society,500,1,2,2021-03-15, Vadgaon Sheri,18.5512771,73.92098940000001
204,Shreeji Ellwood Homes,617,1,1,2021-03-15, Chourai Nagar,18.7051211,73.6780781
205,SKYi Star Towers,754,2,2,2021-03-15, Bhukum,18.4942984,73.7220419
206,Rajasa Enclave Society,840,2,2,2021-03-15, Kanchan Nagari,21.1374886,79.0951888
207,Navalakha Ritz,1114,2,2,2021-03-15, Kharadi,18.5538241,73.9476689
208,"Sai Apartment, lullanagar",1500,2,2,2021-03-15, Lullanagar,18.4852672,73.88362
209,Sumit Apartments,650,1,1,2021-03-15, Aundh,18.5601649,73.8031335
210,River Residency,578,1,1,2021-03-15, Chikhali,18.6824723,73.8196095
211,Dwarka Sai Wonder Phase 2,1000,2,2,2021-03-15, Pimple Saudagar,18.5986763,73.79783479999999
212,Silver Nest,890,2,2,2021-03-15, Rahatani,18.6047038,73.78712949999999
213,ABIL Pranali Apartment,550,1,1,2021-03-15, Rambaug Colony,18.5162864,73.8169099
214,Melange Residency,1300,3,3,2021-03-15, Phase-3 Hinjewadi,18.5868397,73.68599499999999
215,DS Park Royal,930,2,2,2021-03-15, Pimple Saudagar,18.5986763,73.79783479999999
216,Urbangram,745,2,2,2021-03-15, Ghotawade Phata,18.5134407,73.677902
217,Infinity Tower,980,2,2,2021-03-15, Punawale,18.6309399,73.7378149
218,Kothari The Rose,930,2,2,2021-03-15, Lohegaon,18.5944704,73.9275889
219,Mittal Pratibimba,420,1,1,2021-03-15, Mandai,1.4260074,103.8241046
220,Surana Poonam Garden,850,2,2,2021-03-15, Bibwewadi,18.4690213,73.8640944
221,Ganga Kunj Society,566,1,1,2021-03-15, Vishrantwadi,18.5726054,73.8782079
222,Royal Ganga,620,1,1,2021-03-15, Alandi,18.6782865,73.89503359999999
223,Tuscan Estate Signature Meadows,2595,4,5,2021-03-15, Kharadi,18.5538241,73.9476689
224,Omkar Villa,850,2,1,2021-03-15, Old Sangvi,18.5729119,73.8183662
225,7 Plumeria Drive,1236,2,2,2021-03-15, Dange Chowk,18.604276,73.75100069999999
226,Vilas Javdekar Yashwin Hinjewadi,1000,2,2,2021-03-15, Hinjewadi Phase 2,18.596167,73.7153778
227,KK Meadows,670,1,2,2021-03-15, Charholi,18.6537243,73.90774739999999
228,Green Crest Society,859,2,2,2021-03-15, Phursungi,18.4726725,73.9784573
229,Equilife Homes,642,2,2,2021-03-15, Balewadi,18.5788913,73.7706807
230,Kolte Patil R7 At Life Republic,1600,3,3,2021-03-15, Hinjewadi,18.5912716,73.73890899999999
231,sheyash adya,1545,3,2,2021-03-15, Bhusari Colony,18.5082124,73.7904396
232,GK Silverland Residency Phase 3,850,2,2,2021-03-15, Ravet,47.66703210000001,-117.4014343
233,Siddhivinayak Carona,6015,2,2,2021-03-15, Viman Nagar,18.5679146,73.91434319999999
234,Shyama Rainbow Vissta,1010,2,2,2021-03-15, Ravet,47.66703210000001,-117.4014343
235,Mahalaxmi Complex,650,1,1,2021-03-15, Wakad,18.6010921,73.7641245
236,Rohan Abhilasha,430,1,1,2021-03-15, Wagholi,18.5807719,73.9787063
237,Shrinivas co-operative housing society,550,1,1,2021-03-15, Near Navale bridge,18.4609468,73.8222108
238,Sharda Shreenagari,750,1,1,2021-03-15, Dhanori,18.5967587,73.896851
239,Majestique City,924,2,2,2021-03-15, Wagholi,18.5807719,73.9787063
240,Goel Ganga Village,750,1,1,2021-03-15, Udyog Nagar,28.681048,77.08086399999999
241,SSD Sai Pearl,581,1,2,2021-03-15, Pimple Saudagar,18.5986763,73.79783479999999
242,Karia Konark Nagar,830,2,2,2021-03-15, Viman Nagar,18.5679146,73.91434319999999
243,Hari Om Heights,350,1,1,2021-03-15, Wadgaon Budruk,18.4659813,73.8246309
244,Laxmi Nagar,980,2,2,2021-03-15, Dhanori,18.5967587,73.896851
245,Classic Pooja,545,1,1,2021-03-15, Santosh Nagar,17.3472352,78.5083082
246,sai niwas,1000,2,2,2021-03-15, Khese Park,18.5907515,73.9109977
247,Pratik Nagar,550,1,1,2021-03-15, Vishrantwadi,18.5726054,73.8782079
248,DMK Stella,1852,4,4,2021-03-15, Moshi,25.8418033,-80.1845974
249,Swastik Heights,611,1,1,2021-03-15, Mahalunge,18.57382,73.7561594
250,Megapolis Smart Homes 1,1008,2,2,2021-03-15, Phase-3 Hinjewadi,18.5868397,73.68599499999999
251,D R Destination Ostia,880,2,2,2021-03-15, Moshi,25.8418033,-80.1845974
252,GMC Empire 1,460,1,1,2021-03-15, Chinchwad,18.6297811,73.7997094
253,Parshwa Gold County,870,2,2,2021-03-15, Charholi Budruk,18.6537243,73.90774739999999
254,Bhosale Tupe Siddhi Vihar,350,1,2,2021-03-15, Hadapsar,18.508934,73.92591019999999
255,bhosale village,530,1,1,2021-03-15, Bekrai Nagar,18.4819581,73.9521468
256,Namo Paradise,855,2,2,2021-03-15, Lohegaon,18.5944704,73.9275889
257,Ameya Apartments,550,1,1,2021-03-15, Aundh,18.5601649,73.8031335
258,New Front 48 East Park,824,2,2,2021-03-15, Kale Padal,18.4869571,73.9433299
259,Shree Ram Lotus,1108,2,2,2021-03-15, Lohegaon,18.5944704,73.9275889
260,Aryan Complex,503,1,1,2021-03-15, Ambegaon Pathar,18.4587777,73.8426415
261,Monica Corner,550,1,1,2021-03-15, Hadapsar,18.508934,73.92591019999999
262,Kohinoor Falcon,1058,2,2,2021-03-15, Sus,40.7466478,-73.99335599999999
263,on req,660,1,1,2021-03-15, Kothrud,18.5073514,73.8076543
264,Airawat Pride,613,1,1,2021-03-15, Manjari Budruk,18.521266,73.98257339999999
265,Bramha Baug,680,1,1,2021-03-15, B.T Kawade Road,18.5177246,73.90670519999999
266,Telco TTIL Society,2000,2,2,2021-03-15, Sector No-4 Moshi,18.6507099,73.8470523
267,Mauli Building,800,1,2,2021-03-15, Pimple Gurav,18.5865962,73.8134424
268,Destination Kshitij,1105,2,2,2021-03-15, Bhosari,18.6320627,73.84679779999999
269,Ganeshdutta hou.soc.,700,1,1,2021-03-15, Sahakar Nagar,13.0623425,77.5871032
270,Life Montage Apartment,985,2,2,2021-03-15, Sus,40.7466478,-73.99335599999999
271,Puraniks Aldea,1000,3,3,2021-03-15, Baner,18.5590032,73.7867629
272,B5 Pushkaraj apartment right bhusari colony,575,1,1,2021-03-15, Near Bhimsen Joshi garden kothrud depot pune,18.5112533,73.7912674
273,Satyam Greenfields,600,1,1,2021-03-16, Pimpri,18.6297811,73.7997094
274,Oakwood County,900,2,2,2021-03-15, Garmal,18.457528,73.8117632
275,Om Sankul,750,2,1,2021-03-15, Wadgaon Sheri,18.5512771,73.92098940000001
276,on req,575,1,1,2021-03-15, Pimple Gurav,18.5865962,73.8134424
277,Sanskruti Homes,765,1,2,2021-03-15, Swami Samarth Nagar,19.1424186,72.82345640000001
278,BA Vermont,9472,1,1,2021-03-15, Wagholi,18.5807719,73.9787063
279,Popular Colony,560,1,1,2021-03-15, Warje Malwadi,18.4755101,73.8034283
280,Pragati Park Apartment,600,1,1,2021-03-15, Hadapsar Gaon,18.4996865,73.9323081
281,Shri Nagari Society,650,1,1,2021-03-15, Hadapsar,18.508934,73.92591019999999
282,Ravi Park,700,2,2,2021-03-15, Hadapsar,18.508934,73.92591019999999
283,Sriram Complex,650,1,1,2021-03-15, Nehru Nagar,15.4546021,74.9720195
284,Seoul society,500,1,1,2021-03-15, Kothrud,18.5073514,73.8076543
285,Moksh Villa,900,2,2,2021-03-15, Narhe,18.4464732,73.826375
286,Bhoir Estate,666,1,1,2021-03-15, Thergaon,18.6142654,73.77507460000001
287,Sujit Heights,900,2,2,2021-03-15, Chinchwad,18.6297811,73.7997094
288,Atur Park,1250,2,2,2021-03-15, Koregaon Park,18.5362084,73.8939748
289,on Request,897,1,2,2021-03-15, Bibwewadi,18.4690213,73.8640944
290,srinivas chs,550,1,1,2021-03-15, Wadegaon,20.5789242,76.8519159
291,Agarwal Garden,1000,2,2,2021-03-15, Hadapsar,18.508934,73.92591019999999
292,Dreams Lynnea,800,2,2,2021-03-15, Wagholi,18.5807719,73.9787063
293,Shashwattee Reflections,1250,3,3,2021-03-15, Wakad,18.6010921,73.7641245
294,Gera Greensville Sky Villas,2300,3,3,2021-03-15, Kharadi,18.5538241,73.9476689
295,Vaishnavi City Phase 2,650,2,2,2021-03-15, Handewadi,18.4542527,73.9315733
296,Sigma Centuria,550,1,1,2021-03-15, Kale Padal,18.4869571,73.9433299
297,Utsav Homes 3,850,2,2,2021-03-15, Bavdhan,18.513463,73.76985789999999
298,Shree,450,1,1,2021-03-15, Ganesh Mala,18.4962569,73.8369441
299,Kolte Patil Mount Castle,996,2,2,2021-03-15, Wagholi,18.5807719,73.9787063
300,rohan mithilla,1760,3,3,2021-03-15, Viman Nagar,18.5679146,73.91434319999999
